N;alimento;kcal;proteina;lipideos;colesterol;carboidrato;fibras;sodio;categoria
55;ROMA CRUA;56.00;0.40;0.0;0.0;15.10;0.40;1.00;Verduras, hortalicas e derivados
56;TAMARINDO CRU;276.00;3.20;0.50;0.0;72.50;6.40;0.00;Verduras, hortalicas e derivados
57;TANGERINA PONCA CRUA;38.00;0.80;0.10;0.0;9.60;0.90;0.0;Verduras, hortalicas e derivados
58;UVA ITALIA CRUA;53.00;0.70;0.20;0.0;13.60;0.90;0.0;Verduras, hortalicas e derivados
59;AZEITE DE DENDE;884.00;0.0;100.00;0.0;0.0;0.0;0.0;Gorduras e oleos
60;AZEITE DE OLIVA EXTRA VIRGEM;884.00;0.0;100.00;0.0;0.0;0.0;0.0;Gorduras e oleos
61;MANTEIGA COM SAL;726.00;0.40;82.40;201.00;0.10;0.0;579.00;Gorduras e oleos
62;MANTEIGA SEM SAL;758.00;0.40;86.00;214.00;0.00;0.0;4.00;Gorduras e oleos
63;MARGARINA COM OLEOHIDROGENADO COM SAL (65% DE LIPIDEOS);596.00;0.0;67.40;0.0;0.00;0.0;894.00;Gorduras e oleos
64;MARGARINA COM OLEOHIDROGENADO SEM SAL (80% DE LIPIDEOS);723.00;0.0;81.70;0.0;0.00;0.0;78.00;Gorduras e oleos
65;MARGARINA COM OLEOINTERESTERIFICADO COM SAL (65%DE LIPIDEOS);594.00;0.0;67.20;0.0;0.00;0.0;561.00;Gorduras e oleos
66;MARGARINA COM OLEOINTERESTERIFICADO SEM SAL (65% DE LIPIDEOS);593.00;0.0;67.10;0.0;0.00;0.0;33.00;Gorduras e oleos
67;OLEO DE CANOLA;884.00;0.0;100.00;0.0;0.0;0.0;0.0;Gorduras e oleos
68;OLEO DE GIRASSOL;884.00;0.0;100.00;0.0;0.0;0.0;0.0;Gorduras e oleos
69;OLEO DE MILHO;884.00;0.0;100.00;0.0;0.0;0.0;0.0;Gorduras e oleos
70;OLEO DE SOJA;884.00;0.0;100.00;0.0;0.0;0.0;0.0;Gorduras e oleos
71;ATUM CONSERVA EM OLEO;166.00;26.20;6.00;53.00;0.00;0.0;362.00;Pescados e frutos do mar
72;SALMAO FILE COM PELE FRESCO GRELHADO;229.00;23.90;14.00;85.00;0.00;0.0;85.00;Pescados e frutos do mar
73;SALMAO SEM PELE FRESCO GRELHADO;243.00;26.10;14.50;73.00;0.00;0.0;96.00;Pescados e frutos do mar
74;SARDINHA ASSADA;164.00;32.20;3.00;109.00;0.00;0.0;74.00;Pescados e frutos do mar
75;SARDINHA CONSERVA EM OLEO;285.00;15.90;24.00;73.00;0.00;0.0;666.00;Pescados e frutos do mar
76;SARDINHA FRITA;257.00;33.40;12.70;103.00;0.00;0.0;60.00;Pescados e frutos do mar
77;CARNE BOVINA CHARQUE COZIDO;263.00;36.40;11.90;113.00;0.00;0.0;1443.00;Carnes e derivados
78;CARNE BOVINA CHARQUE CRU;249.00;22.70;16.80;81.00;0.00;0.0;5875.00;Carnes e derivados
79;CARNE BOVINA COXAO MOLE SEM GORDURA COZIDO;219.00;32.40;8.90;84.00;0.00;0.0;44.00;Carnes e derivados
80;CARNE BOVINA COXAO MOLE SEM GORDURA CRU;169.00;21.20;8.70;84.00;0.00;0.0;61.00;Carnes e derivados
81;CARNE BOVINA CUPIM ASSADO;330.00;28.60;23.00;91.00;0.00;0.0;72.00;Carnes e derivados
82;CARNE BOVINA CUPIM CRU;221.00;19.50;15.30;51.00;0.00;0.0;47.00;Carnes e derivados
83;CARNE BOVINA MAMINHA CRUA;153.00;20.90;7.00;51.00;0.00;0.0;37.00;Carnes e derivados
84;CARNE BOVINA MAMINHA GRELHADA;153.00;30.70;2.40;88.00;0.00;0.0;58.00;Carnes e derivados
85;CARNE BOVINA PATINHO SEM GORDURA CRU;133.00;21.70;4.50;56.00;0.00;0.0;49.00;Carnes e derivados
86;CARNE BOVINA PATINHO SEM GORDURA GRELHADO;219.00;35.90;7.30;126.00;0.00;0.0;60.00;Carnes e derivados
87;CARNE BOVINA PICANHA COM GORDURA CRUA;213.00;18.80;14.70;60.00;0.00;0.0;38.00;Carnes e derivados
88;CARNE BOVINA PICANHA COM GORDURA GRELHADA;289.00;26.40;19.50;92.00;0.00;0.0;60.00;Carnes e derivados
89;CARNE BOVINA PICANHA SEM GORDURA CRUA;134.00;21.30;4.70;75.00;0.00;0.0;61.00;Carnes e derivados
90;CARNE BOVINA PICANHA SEM GORDURA GRELHADA;238.00;31.90;11.30;100.00;0.00;0.0;61.00;Carnes e derivados
91;CARNE BOVINA SECA COZIDA;313.00;26.90;21.90;100.00;0.00;0.0;1943.00;Carnes e derivados
92;CARNE BOVINA SECA CRUA;313.00;19.70;25.40;92.00;0.00;0.0;4440.00;Carnes e derivados
93;EMPADA DE FRANGO PRE-COZIDA ASSADA;358.00;6.90;15.60;23.00;47.50;2.20;525.00;Carnes e derivados
