N;Descricao dos alimentos;Energia (kcal);Proteina (g);Lipideos (g);Colesterol (mg);Carboidrato (g);Fibra Alimentar (g);Sodio (mg);Categoria
59;Azeite de dende;884.00;0.0;100.00;0.0;0.0;0.0;0.0;Gorduras e oleos
60;Azeite de oliva extra virgem;884.00;0.0;100.00;0.0;0.0;0.0;0.0;Gorduras e oleos
61;Manteiga com sal;726.00;0.40;82.40;201.00;0.10;0.0;579.00;Gorduras e oleos
62;Manteiga sem sal;758.00;0.40;86.00;214.00;0.00;0.0;4.00;Gorduras e oleos
63;Margarina com oleohidrogenado com sal (65% de lipideos);596.00;0.0;67.40;0.0;0.00;0.0;894.00;Gorduras e oleos
64;Margarina com oleohidrogenado sem sal (80% de lipideos);723.00;0.0;81.70;0.0;0.00;0.0;78.00;Gorduras e oleos
65;Margarina com oleointeresterificado com sal (65%de lipideos);594.00;0.0;67.20;0.0;0.00;0.0;561.00;Gorduras e oleos
66;Margarina com oleointeresterificado sem sal (65% de lipideos);593.00;0.0;67.10;0.0;0.00;0.0;33.00;Gorduras e oleos
67;oleo de canola;884.00;0.0;100.00;0.0;0.0;0.0;0.0;Gorduras e oleos
68;oleo de girassol;884.00;0.0;100.00;0.0;0.0;0.0;0.0;Gorduras e oleos
69;oleo de milho;884.00;0.0;100.00;0.0;0.0;0.0;0.0;Gorduras e oleos
70;oleo de soja;884.00;0.0;100.00;0.0;0.0;0.0;0.0;Gorduras e oleos
71;Atum conserva em oleo;166.00;26.20;6.00;53.00;0.00;0.0;362.00;Pescados e frutos do mar
72;Salmao file com pele fresco grelhado;229.00;23.90;14.00;85.00;0.00;0.0;85.00;Pescados e frutos do mar
73;Salmao sem pele fresco grelhado;243.00;26.10;14.50;73.00;0.00;0.0;96.00;Pescados e frutos do mar
74;Sardinha assada;164.00;32.20;3.00;109.00;0.00;0.0;74.00;Pescados e frutos do mar
75;Sardinha conserva em oleo;285.00;15.90;24.00;73.00;0.00;0.0;666.00;Pescados e frutos do mar
76;Sardinha frita;257.00;33.40;12.70;103.00;0.00;0.0;60.00;Pescados e frutos do mar
77;Carne bovina charque cozido;263.00;36.40;11.90;113.00;0.00;0.0;1443.00;Carnes e derivados
78;Carne bovina charque cru;249.00;22.70;16.80;81.00;0.00;0.0;5875.00;Carnes e derivados
79;Carne bovina coxao mole sem gordura cozido;219.00;32.40;8.90;84.00;0.00;0.0;44.00;Carnes e derivados
80;Carne bovina coxao mole sem gordura cru;169.00;21.20;8.70;84.00;0.00;0.0;61.00;Carnes e derivados
81;Carne bovina cupim assado;330.00;28.60;23.00;91.00;0.00;0.0;72.00;Carnes e derivados
82;Carne bovina cupim cru;221.00;19.50;15.30;51.00;0.00;0.0;47.00;Carnes e derivados
83;Carne bovina maminha crua;153.00;20.90;7.00;51.00;0.00;0.0;37.00;Carnes e derivados
84;Carne bovina maminha grelhada;153.00;30.70;2.40;88.00;0.00;0.0;58.00;Carnes e derivados
85;Carne bovina patinho sem gordura cru;133.00;21.70;4.50;56.00;0.00;0.0;49.00;Carnes e derivados
86;Carne bovina patinho sem gordura grelhado;219.00;35.90;7.30;126.00;0.00;0.0;60.00;Carnes e derivados
87;Carne bovina picanha com gordura crua;213.00;18.80;14.70;60.00;0.00;0.0;38.00;Carnes e derivados
88;Carne bovina picanha com gordura grelhada;289.00;26.40;19.50;92.00;0.00;0.0;60.00;Carnes e derivados
89;Carne bovina picanha sem gordura crua;134.00;21.30;4.70;75.00;0.00;0.0;61.00;Carnes e derivados
90;Carne bovina picanha sem gordura grelhada;238.00;31.90;11.30;100.00;0.00;0.0;61.00;Carnes e derivados
91;Carne bovina seca cozida;313.00;26.90;21.90;100.00;0.00;0.0;1943.00;Carnes e derivados
92;Carne bovina seca crua;313.00;19.70;25.40;92.00;0.00;0.0;4440.00;Carnes e derivados
93;Empada de frango pre-cozida assada;358.00;6.90;15.60;23.00;47.50;2.20;525.00;Carnes e derivados
94;Empada de frango Pre-cozida;377.00;7.30;22.90;23.00;35.50;2.20;771.00;Carnes e derivados
95;Frango file a milanesa;221.00;28.50;7.80;84.00;7.50;1.10;122.00;Carnes e derivados
96;Frango peito sem pele cozido;163.00;31.50;3.20;89.00;0.00;0.0;36.00;Carnes e derivados
97;Frango peito sem pele cru;119.00;21.50;3.00;59.00;0.00;0.0;56.00;Carnes e derivados
98;Frango peito sem pele grelhado;159.00;32.00;2.50;89.00;0.00;0.0;50.00;Carnes e derivados
99;Frango sobrecoxa sem pele assada;233.00;29.20;12.00;145.00;0.00;0.0;106.00;Carnes e derivados
100;Frango sobrecoxa sem pele crua;162.00;17.60;9.60;84.00;0.00;0.0;80.00;Carnes e derivados
101;Porco bisteca crua;164.00;21.50;8.00;56.00;0.00;0.0;54.00;Carnes e derivados
102;Porco bisteca grelhada;280.00;28.90;17.40;82.00;0.00;0.0;51.00;Carnes e derivados
103;Porco costela assada;402.00;30.20;30.30;113.00;0.00;0.0;63.00;Carnes e derivados
104;Porco costela crua;256.00;18.00;19.80;69.00;0.00;0.0;88.00;Carnes e derivados
105;Porco lombo assado;210.00;35.70;6.40;103.00;0.00;0.0;39.00;Carnes e derivados
106;Porco lombo cru;176.00;22.60;8.80;55.00;0.00;0.0;53.00;Carnes e derivados
107;Porco pernil assado;262.00;32.10;13.90;110.00;0.00;0.0;62.00;Carnes e derivados
108;Porco pernil cru;186.00;20.10;11.10;59.00;0.00;0.0;102.00;Carnes e derivados
109;Bebida lactea pessego;55.00;2.10;1.90;5.00;7.60;0.30;46.00;Leite e derivados
110;Creme de Leite;221.00;1.50;22.50;66.00;4.50;0.0;52.00;Leite e derivados
111;Iogurte natural;51.00;4.10;3.00;14.00;1.90;0.0;52.00;Leite e derivados
112;Iogurte natural desnatado;41.00;3.80;0.30;3.00;5.80;0.0;60.00;Leite e derivados
113;Iogurte sabor morango;70.00;2.70;2.30;7.00;9.70;0.20;38.00;Leite e derivados
114;Iogurte saborpessego;68.00;2.50;2.30;8.00;9.40;0.70;37.00;Leite e derivados
115;Leite de cabra;66.00;3.10;3.80;14.00;5.20;0.0;74.00;Leite e derivados
116;Leite de vaca achocolatado;83.00;2.10;2.20;6.00;14.20;0.60;72.00;Leite e derivados
117;Leite de vaca desnatado po;362.00;34.70;0.90;25.00;53.00;0.0;432.00;Leite e derivados
118;Leite de vaca integral po;497.00;25.40;26.90;85.00;39.20;0.0;323.00;Leite e derivados
119;Leite fermentado;70.00;1.90;0.10;2.00;15.70;0.0;33.00;Leite e derivados
120;Queijo minas frescal;264.00;17.40;20.20;62.00;3.20;0.0;31.00;Leite e derivados
121;Queijo minas meia cura;321.00;21.20;24.60;76.00;3.60;0.0;501.00;Leite e derivados
122;Queijo mozarela;330.00;22.60;25.20;80.00;3.00;0.0;581.00;Leite e derivados
123;Queijo parmesao;453.00;35.60;33.50;106.00;1.70;0.0;1844.00;Leite e derivados
124;Queijo pasteurizado;303.00;9.40;27.40;82.00;5.70;0.0;780.00;Leite e derivados
125;Queijo petit suisse morango;121.00;5.80;2.80;12.00;18.50;0.0;412.00;Leite e derivados
